[2025-11-09 07:34:26] Blocked URL: https://www.backchina.com/news/2025/11/07/1000086.html | Reason: GFWList Blacklist | Detail: Matched Rule: backchina.com
[2025-11-09 07:34:31] Blocked URL: https://www.westca.com/Education/articles/op=view/sid=1153328/lang=schinese.html | Reason: GFWList Blacklist | Detail: Matched Rule: westca.com
[2025-11-09 07:34:46] Blocked URL: https://waytoagi.feishu.cn/wiki/DWSpwUXSRiw29akYR5Fc3xaHnjp | Reason: No Chinese Content | Detail: Content: Docs ...
[2025-11-09 07:34:51] Blocked URL: https://www.grllp.com/blog/Is-a-company-liable-for-its-AI-chatbot-telling-a-customer-to-phone-a-scammer-664 | Reason: No Chinese Content | Detail: Content: Gardiner Roberts - Welcome Gardiner Roberts...
[2025-11-09 07:34:56] Blocked URL: https://quidget.ai/blog/ai-automation/chatbot-legal-risks-liability-and-mitigation/ | Reason: No Chinese Content | Detail: Content: Quidget — AI Chatbot for Customer Support & Lead Capture Cha...
[2025-11-09 07:35:00] Blocked URL: https://www.techpolicy.press/ai-companies-should-be-liable-for-the-illegal-conduct-of-ai-chatbots/ | Reason: No Chinese Content | Detail: Content: Tech Policy Press - Technology and Democracy AI Companies Sh...
[2025-11-09 07:36:38] Blocked URL: https://www.ntdtv.com/b5/2025/11/04/a104035468.html | Reason: GFWList Blacklist | Detail: Matched Rule: ntdtv.com
[2025-11-09 07:36:40] Blocked URL: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFEmAqdHhsZuyRgFyQ70YWUApCzbqf2KZj7Bn28n4yd2Ozq_r1RotyZRVATmHxWUNCvFhGj6bn1XpgG9zcNDccL1gLQEcJCL6D9GxsW1XPAbSxg8MqfLwfL2zDsfs4epLNgtYA= | Reason: GFWList Blacklist | Detail: Matched Rule: google.com
[2025-11-09 07:36:57] Blocked URL: https://www.wenxuecity.com/news/2025/11/07/126401725.html | Reason: GFWList Blacklist | Detail: Matched Rule: wenxuecity.com
[2025-11-09 07:37:03] Blocked URL: https://www.zaobao.com.sg/entertainment/story20251104-7765805 | Reason: GFWList Blacklist | Detail: Matched Rule: zaobao.com.sg
[2025-11-09 07:37:11] Blocked URL: https://www.hk01.com/%E7%AA%81%E7%99%BC/60291282/%E5%AF%B6%E7%A6%8F%E5%B1%B1%E5%90%8D%E4%BA%BA%E9%AA%A8%E7%81%B0%E8%A2%AB%E7%9B%9C-%E5%B8%82%E6%B0%91%E5%B0%88%E7%A8%8B%E6%9F%A5%E7%9C%8B%E5%85%88%E4%BA%BA%E9%BE%95%E4%BD%8D-%E5%AD%9D%E5%A5%B3%E6%86%82%E4%BF%9D%E5%AE%89%E5%AD%98%E5%9C%A8%E6%BC%8F%E6%B4%9E | Reason: GFWList Blacklist | Detail: Matched Rule: hk01.com
[2025-11-09 07:37:29] Blocked URL: https://tw.news.yahoo.com/%E9%A6%99%E6%B8%AF%E5%90%8D%E4%BA%BA%E9%AA%A8%E7%81%B0%E9%A9%9A%E5%82%B3%E8%A2%AB%E7%9B%9C%E5%8B%92%E7%B4%A2-%E6%AD%A6%E8%A1%93%E5%90%8D%E5%B0%8E%E5%8A%89%E5%AE%B6%E8%89%AF%E9%9D%88%E4%BD%8D%E6%85%98%E9%81%AD%E7%9B%9C-%E6%9F%AC%E5%9F%94%E5%AF%A8%E8%A9%90%E5%9C%98%E7%96%91%E6%B6%89%E6%A1%88-100740820.html | Reason: GFWList Blacklist | Detail: Matched Rule: yahoo.com
[2025-11-09 07:38:06] Blocked URL: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF8JKAAXdsRqIJRjrEweH-jZoubzAvd5WmGC2cuo18f_BQXs7ZqZd1HY5o43txNxRxW9vV3SSmsF_ZWZAvUPY6HP5-MQ7s4W3MqmWKH-bNGtHCGThdX1jzflrpORUVJ7NR56y8Go77nYKl__Av1DyGP5dwSzYeb6dTG2MTARwOomgwFz7hfFr-qGNZHOaD5tNMzwJs_NEJdzfktXJ5uCYvH0jxsgyUkEqQ- | Reason: GFWList Blacklist | Detail: Matched Rule: google.com
[2025-11-09 07:38:11] Blocked URL: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGFdAMWqPFUrJUhsDA7laDRVG3d4-Kk2cOCRr5wUAVUq0RJEfCWYrDxY8pThEcYyb4fzfdsMKIhct61LhXjmjVVaFDfWlmE1lmD2loWxYUU5PFTZn8qOu9dMuCaOru8r-KfeJHL_0ZQQxs-DpKKg4QsJHB4gzmxSy4G7xBq9GdZ-xp_r8lV9hhyY2acPxobsiZxJQLqXkshoXHjOwqwqkih-Xw= | Reason: GFWList Blacklist | Detail: Matched Rule: google.com
