[2025-11-09 09:09:41] Blocked URL: https://www.gamersky.com/handbook/202405/1750577.shtml | Reason: 3. Non-Static URL | Detail: URL: https://www.gamersky.com/handbook/202405/1750577.shtml
[2025-11-09 09:09:46] Blocked URL: https://news.cctv.com/2024/11/07/ARTIMREKTScssYLg9oVUrfwj241107.shtml | Reason: 3. Non-Static URL | Detail: URL: https://news.cctv.com/2024/11/07/ARTIMREKTScssYLg9oVUrfwj241107.shtml
[2025-11-09 09:09:46] Blocked URL: https://www.koc.com.tw/archives/553295 | Reason: 2. TLD Whitelist | Detail: URL: https://www.koc.com.tw/archives/553295
[2025-11-09 09:09:49] Blocked URL: https://www.gamersky.com/handbook/202406/1779467.shtml | Reason: 3. Non-Static URL | Detail: URL: https://www.gamersky.com/handbook/202406/1779467.shtml
[2025-11-09 09:09:50] Blocked URL: https://wallstreetcn.com/articles/3745453 | Reason: 3. Non-Static URL | Detail: URL: https://wallstreetcn.com/articles/3745453
[2025-11-09 09:09:53] Blocked URL: https://auto.ifeng.com/c/8o6w9CWLozS | Reason: 3. Non-Static URL | Detail: URL: https://auto.ifeng.com/c/8o6w9CWLozS
[2025-11-09 09:09:54] Blocked URL: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFXdnsRUzsrwhPgnKsOaDbWiB09PtymISURJvT2YOxg_yzIGb9QRFGbmZ-HGsoipVLIDZzBveg_QVG5OhZ-4VKvN3YF_CHcf_vOzb_wnddkXh16QFvN3LkUb_bXuwvg33BTWrGGunH9zNOxab5tEtvqion8arK1oUvB2Bz5cLjGVHmY3Zlr1Xf766omxadT1TJT2BAAE0kGppBR-bW6JY55Navu49n6J_C2SDEW3ApL1szHJMPirFK3gG10OYYVEYIuHwA3EYy8vehVD8eLe3nKL_8JirOyfteYli77wJIJNe0jAr5QhcxSs2N9oqDsfzdrGJQ44HYF1RO8K92DtNB7Dl0232kkWob1szYWPIDZZ9oFlEjAXh41NWWj4mQm5jEepoEzeE2_TKstariZLd0FAnJ0sLy3Lw2WF0kTJALznt2yxYQPAPW-NEOBxMqGwB-9Q73Ygq5YM-44uMKhyjhn2BMfFfJz0xyy7GYKlhYt8UwU4CurKM10UyHbBf4= | Reason: 1. GFWList Blacklist | Detail: Matched: google.com
[2025-11-09 09:09:56] Blocked URL: https://cloud.tencent.com/developer/article/2344785 | Reason: 3. Non-Static URL | Detail: URL: https://cloud.tencent.com/developer/article/2344785
[2025-11-09 09:09:58] Blocked URL: https://www.ifenxi.com/research/content/6566 | Reason: 3. Non-Static URL | Detail: URL: https://www.ifenxi.com/research/content/6566
[2025-11-09 09:09:58] Blocked URL: https://www.fastbull.com/cn/institution-article/4308902_1 | Reason: 3. Non-Static URL | Detail: URL: https://www.fastbull.com/cn/institution-article/4308902_1
[2025-11-09 09:09:59] Blocked URL: https://gnn.gamer.com.tw/detail.php?sn=270869 | Reason: 1. GFWList Blacklist | Detail: Matched: gamer.com.tw
[2025-11-09 09:10:03] Blocked URL: https://www.china-aii.com/jgdt/7140790.jhtml | Reason: 3. Non-Static URL | Detail: URL: https://www.china-aii.com/jgdt/7140790.jhtml
[2025-11-09 09:10:05] Blocked URL: https://www.163.com/dy/article/J4DF26RJ0537A7PS.html | Reason: 6. Traditional Chinese in Title | Detail: Title: 《原神》为什么我不建议养克洛琳德？强度不太够，还不如刻晴好用
[2025-11-09 09:10:06] Blocked URL: https://36kr.com/p/2547640530408584 | Reason: 3. Non-Static URL | Detail: URL: https://36kr.com/p/2547640530408584
[2025-11-09 09:10:11] Blocked URL: https://china.usembassy-china.org.cn/zh/the-inaugural-address/ | Reason: 3. Non-Static URL | Detail: URL: https://china.usembassy-china.org.cn/zh/the-inaugural-address/
[2025-11-09 09:10:16] Blocked URL: https://www.hk01.com/%E8%B2%A1%E7%B6%93%E5%BF%AB%E8%A8%8A/1073385/%E7%BE%8E%E5%9C%8B%E5%A4%A7%E9%81%B8%E7%B5%90%E6%9E%9C-%E7%89%B9%E6%9C%97%E6%99%AE%E6%94%BF%E7%B6%B1-%E7%B6%93%E6%BF%9F-%E8%81%96%E6%97%A8-%E5%BE%85%E6%8F%AD%E7%9B%85-%E4%BA%94%E5%A4%A7%E4%B8%BB%E5%BC%B5%E5%8D%B3%E7%9D%87 | Reason: 1. GFWList Blacklist | Detail: Matched: hk01.com
[2025-11-09 09:10:22] Blocked URL: https://cn.nikkei.com/politicsaeconomy/economic-policy/57184-2024-11-07-12-47-56.html | Reason: 1. GFWList Blacklist | Detail: Matched: nikkei.com
[2025-11-09 09:10:23] Blocked URL: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEVI8wjS-6H0UGgPexhJ2ISaHnOq0TZUut3qH6NVhJUomxtYiyAgHrVF9c22ORJRhP2VOHMTT7KQQqdR2x61c5eDl-GDnsB9MDImiUzXwgqxQ8S | Reason: 1. GFWList Blacklist | Detail: Matched: google.com
[2025-11-09 09:10:27] Blocked URL: https://www.youtube.com/watch?v=6kVB3_hunjg | Reason: 1. GFWList Blacklist | Detail: Matched: youtube.com
[2025-11-09 09:10:31] Blocked URL: https://ciss.tsinghua.edu.cn/info/mggc/7365 | Reason: 3. Non-Static URL | Detail: URL: https://ciss.tsinghua.edu.cn/info/mggc/7365
[2025-11-09 09:10:36] Blocked URL: https://www.youtube.com/watch?v=aw0u1sSHjDM | Reason: 1. GFWList Blacklist | Detail: Matched: youtube.com
