[2025-11-09 09:41:10] Blocked URL: https://finance.sina.com.cn/tech/discovery/2025-11-02/doc-infvyuyt3638420.shtml | Reason: 3. Non-Static URL | Detail: URL: https://finance.sina.com.cn/tech/discovery/2025-11-02/doc-infvyuyt3638420.shtml
[2025-11-09 09:41:14] Blocked URL: https://m.mp.oeeee.com/a/BAAFRD0000202511071470245.html | Reason: 5. Invalid Site Name (No Chinese) | Detail: Site Name: m.mp.oeeee.com
[2025-11-09 09:41:16] Blocked URL: https://www.6parknews.com/newspark/view.php?app=news&act=view&nid=754675 | Reason: 1. GFWList Blacklist | Detail: Matched: 6parknews.com
[2025-11-09 09:41:16] Blocked URL: https://news.ifeng.com/c/8o0UiC7yRjA | Reason: 3. Non-Static URL | Detail: URL: https://news.ifeng.com/c/8o0UiC7yRjA
[2025-11-09 09:41:21] Blocked URL: https://www.douyin.com/search/%E6%89%87%E8%80%B3%E5%85%89%E5%A4%A7%E8%B5%9B%E6%AF%94%E8%B5%9B%E8%A7%84%E5%88%99%E8%AF%A6%E8%A7%A3 | Reason: 3. Non-Static URL | Detail: URL: https://www.douyin.com/search/%E6%89%87%E8%80%B3%E5%85%89%E5%A4%A7%E8%B5%9B%E6%AF%94%E8%B5%9B%E8%A7%84%E5%88%99%E8%AF%A6%E8%A7%A3
[2025-11-09 09:41:24] Blocked URL: https://news.ifeng.com/c/8o52po2QISf | Reason: 3. Non-Static URL | Detail: URL: https://news.ifeng.com/c/8o52po2QISf
[2025-11-09 09:41:39] Blocked URL: https://www.westca.com/News/article/sid=1153453/lang=schinese.html | Reason: 1. GFWList Blacklist | Detail: Matched: westca.com
[2025-11-09 09:41:44] Blocked URL: https://www.wenxuecity.com/news/2025/11/07/126401373.html | Reason: 1. GFWList Blacklist | Detail: Matched: wenxuecity.com
[2025-11-09 09:41:47] Blocked URL: https://www.douyin.com/shipin/7569791023656929314?previous_page=app_code_link | Reason: 3. Non-Static URL | Detail: URL: https://www.douyin.com/shipin/7569791023656929314?previous_page=app_code_link
[2025-11-09 09:42:12] Blocked URL: http://www.inewsweek.cn/finance/2025-11-04/27365.shtml | Reason: 3. Non-Static URL | Detail: URL: http://www.inewsweek.cn/finance/2025-11-04/27365.shtml
[2025-11-09 09:42:19] Blocked URL: https://www.7its.com/?m=home&c=View&a=index&aid=20198 | Reason: 3. Non-Static URL | Detail: URL: https://www.7its.com/?m=home&c=View&a=index&aid=20198
[2025-11-09 09:42:28] Blocked URL: https://changing-transport.org/wp-content/uploads/2025_New-modes-of-urban-public-transport-in-China_CN.pdf | Reason: 3. Non-Static URL | Detail: URL: https://changing-transport.org/wp-content/uploads/2025_New-modes-of-urban-public-transport-in-China_CN.pdf
